exercise,language_1,language_2,language_3,Total_Difference
exercise_21,1.2222222222222223,0.4444444444444444,1.4444444444444444,1.0
exercise_34,1.0,1.6666666666666667,1.4444444444444444,0.6666666666666667
exercise_6,0.7777777777777778,1.2222222222222223,0.5555555555555556,0.6666666666666667
exercise_19,1.1111111111111112,0.6666666666666666,1.3333333333333333,0.6666666666666666
exercise_11,1.1111111111111112,0.7777777777777778,1.2222222222222223,0.44444444444444453
exercise_1,1.1111111111111112,1.0,1.4444444444444444,0.4444444444444444
exercise_27,1.5555555555555556,1.1111111111111112,1.2222222222222223,0.4444444444444444
exercise_33,0.5555555555555556,0.7777777777777778,1.0,0.4444444444444444
exercise_13,1.1111111111111112,1.1111111111111112,1.5555555555555556,0.4444444444444444
exercise_37,1.3333333333333333,1.3333333333333333,1.7777777777777777,0.4444444444444444
exercise_35,1.1111111111111112,1.3333333333333333,1.5555555555555556,0.4444444444444444
exercise_45,1.1111111111111112,1.1111111111111112,1.5555555555555556,0.4444444444444444
exercise_26,0.8888888888888888,1.0,1.2222222222222223,0.3333333333333335
exercise_25,0.8888888888888888,1.1111111111111112,1.2222222222222223,0.3333333333333335
exercise_17,1.2222222222222223,0.8888888888888888,1.2222222222222223,0.3333333333333335
exercise_24,0.8888888888888888,1.0,1.2222222222222223,0.3333333333333335
exercise_3,0.8888888888888888,0.8888888888888888,1.2222222222222223,0.3333333333333335
exercise_29,0.8888888888888888,0.8888888888888888,1.2222222222222223,0.3333333333333335
exercise_7,1.2222222222222223,1.1111111111111112,1.4444444444444444,0.33333333333333326
exercise_2,1.2222222222222223,1.0,1.3333333333333333,0.33333333333333326
exercise_4,1.1111111111111112,1.4444444444444444,1.4444444444444444,0.33333333333333326
exercise_39,1.3333333333333333,1.1111111111111112,1.4444444444444444,0.33333333333333326
exercise_40,1.3333333333333333,1.1111111111111112,1.4444444444444444,0.33333333333333326
exercise_43,1.2222222222222223,1.1111111111111112,1.4444444444444444,0.33333333333333326
exercise_28,1.0,1.2222222222222223,1.3333333333333333,0.33333333333333326
exercise_18,1.0,1.0,1.3333333333333333,0.33333333333333326
exercise_14,1.1111111111111112,1.1111111111111112,1.4444444444444444,0.33333333333333326
exercise_50,1.1111111111111112,1.2222222222222223,1.4444444444444444,0.33333333333333326
exercise_46,1.3333333333333333,1.3333333333333333,1.5555555555555556,0.22222222222222232
exercise_9,0.8888888888888888,1.1111111111111112,1.1111111111111112,0.22222222222222232
exercise_15,1.0,1.2222222222222223,1.2222222222222223,0.22222222222222232
exercise_10,1.1111111111111112,1.2222222222222223,1.3333333333333333,0.2222222222222221
exercise_32,1.1111111111111112,1.3333333333333333,1.2222222222222223,0.2222222222222221
exercise_48,1.3333333333333333,1.1111111111111112,1.3333333333333333,0.2222222222222221
exercise_47,1.2222222222222223,1.3333333333333333,1.4444444444444444,0.2222222222222221
exercise_5,1.1111111111111112,1.1111111111111112,1.3333333333333333,0.2222222222222221
exercise_8,1.1111111111111112,1.1111111111111112,1.2222222222222223,0.11111111111111116
exercise_22,1.1111111111111112,1.2222222222222223,1.2222222222222223,0.11111111111111116
exercise_12,1.1111111111111112,1.1111111111111112,1.2222222222222223,0.11111111111111116
exercise_38,1.3333333333333333,1.3333333333333333,1.4444444444444444,0.11111111111111116
exercise_31,1.1111111111111112,1.1111111111111112,1.0,0.11111111111111116
exercise_36,1.4444444444444444,1.4444444444444444,1.3333333333333333,0.11111111111111116
exercise_42,1.2222222222222223,1.1111111111111112,1.2222222222222223,0.11111111111111116
exercise_41,1.1111111111111112,1.2222222222222223,1.2222222222222223,0.11111111111111116
exercise_16,1.3333333333333333,1.2222222222222223,1.2222222222222223,0.11111111111111094
exercise_20,1.3333333333333333,1.2222222222222223,1.2222222222222223,0.11111111111111094
exercise_23,1.3333333333333333,1.2222222222222223,1.2222222222222223,0.11111111111111094
exercise_44,1.2222222222222223,1.3333333333333333,1.2222222222222223,0.11111111111111094
exercise_30,1.0,1.0,1.0,0.0
exercise_49,1.2222222222222223,1.2222222222222223,1.2222222222222223,0.0
